layer,sentence_length,word_content,tree_depth,bigram_shift,past_present,subj_number,obj_number,odd_man_out,coordination_inversion
0,0.1666666666666666,0.001,0.2192,0.545,0.5,0.4999,0.4999,0.4999,0.4993
1,0.8077230892356942,0.3119,0.4237,0.5456,0.7889,0.7726,0.7657,0.5279,0.6594
2,0.8205282112845138,0.5073,0.4502,0.6573,0.8534,0.8162,0.7716,0.5252,0.6646
3,0.8269307723089235,0.5862,0.4542,0.7195,0.8878,0.8267,0.7912,0.5247,0.6945
4,0.8117246898759504,0.6058,0.4657,0.7465,0.9224,0.8651,0.788,0.5353,0.7363
5,0.7759103641456583,0.5443,0.4587,0.7441,0.9262,0.8618,0.7808,0.5127,0.7559
6,0.7364945978391356,0.4852,0.4598,0.7351,0.9287,0.8701,0.7969,0.5258,0.7759
7,0.6820728291316527,0.4434,0.456,0.7211,0.9281,0.8681,0.7916,0.5332,0.7974
8,0.6744697879151661,0.386,0.448,0.7163,0.925,0.8729,0.7784,0.5107,0.8274
9,0.6854741896758704,0.3612,0.4398,0.7167,0.9234,0.8675,0.772,0.5322,0.8349
10,0.6380552220888356,0.3412,0.4403,0.7427,0.9287,0.8658,0.7726,0.5241,0.8351
11,0.6064425770308123,0.3256,0.422,0.7453,0.9233,0.8559,0.7556,0.5342,0.8312
12,0.550220088035214,0.339,0.4031,0.7422,0.9185,0.8391,0.7566,0.5336,0.812
